data,2022-10-02,2022-10-09,2022-10-16,2022-10-23,2022-10-30,2022-11-06,2022-11-13
ARIMA_LO,805.5273308641503,1595.2441787241544,1844.7007478276334,2974.7156511674084,5992.083325945831,7953.076727087961,10827.340900005483
lstm,774.8711151123047,1089.2289111328123,1033.58955078125,1816.267978515625,2799.125905761719,4039.268464355469,5851.06388671875
EnKF,791.025995297372,1317.11427102232,1168.4314619457302,2514.73027625005,5165.943512008621,8630.50384438862,11737.1862856416
phase-model,797.4285714285719,1083.85714285714,1416.16666666667,1841.2666666666696,2956.23636363636,4369.77272727273,6088.692307692309
ES_LO,1017.9887929007028,1419.980020482207,1930.0033151721293,2713.998747559563,6221.659472321685,8570.065211402336,10658.008437237831
gtruth,1290.0,1638.0,2326.0,4277.0,6458.0,8761.0,11222.0
