fct_date,fct_mean,cnty,horizon,method,step_ahead
2022-10-02,10.199999999999998,53,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,10.199999999999998,53,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,10.199999999999998,53,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,10.199999999999998,53,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,36.288973326714114,22,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,34.654989081762345,22,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,33.09457827435902,22,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,31.604428112028085,22,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,1.3999999999999997,02,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,1.3999999999999997,02,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,1.3999999999999997,02,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,1.3999999999999997,02,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,9.76050770267566,04,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,9.526751061399091,04,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,9.29859271162593,04,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,9.075898578586866,04,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,4.799999999999999,24,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,4.799999999999999,24,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,4.799999999999999,24,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,4.799999999999999,24,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,118.19999999999996,48,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,118.19999999999996,48,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,118.19999999999996,48,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,118.19999999999996,48,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,7.851375128309034,36,2022-09-25,ARIMA_LO,1-step_ahead
2022-10-09,26.8079792250263,36,2022-09-25,ARIMA_LO,2-step_ahead
2022-10-16,9.8161964940035,36,2022-09-25,ARIMA_LO,3-step_ahead
2022-10-23,25.046808417173995,36,2022-09-25,ARIMA_LO,4-step_ahead
2022-10-02,13.199999999999998,45,2022-09-25,ARIMA_LO,1-step_ahead
