cnty,horizon,method,fct_date,step_ahead,fct_mean,fct_std,true
06037,2022-03-06,AR_spatial,2022-03-13,1-step_ahead,8432.953404447639,1072.71046223035,11490.0
06059,2022-03-06,AR_spatial,2022-03-13,1-step_ahead,1167.1891240664834,145.47083734175078,1679.0
06065,2022-03-06,AR_spatial,2022-03-13,1-step_ahead,1361.4494393952396,186.27822411067584,1038.0
06073,2022-03-06,AR_spatial,2022-03-13,1-step_ahead,4208.619360746926,532.1676081540471,3808.0
17031,2022-03-06,AR_spatial,2022-03-13,1-step_ahead,3819.822395213561,579.325460602406,3255.0
36047,2022-03-06,AR_spatial,2022-03-13,1-step_ahead,1509.6704207369696,184.44951652188612,2217.0
48113,2022-03-06,AR_spatial,2022-03-13,1-step_ahead,1275.2047152789944,94.12489799857164,489.0
48201,2022-03-06,AR_spatial,2022-03-13,1-step_ahead,1972.4971922821835,160.82650274293994,1236.0
04013,2022-02-27,AR_spatial,2022-03-06,1-step_ahead,2663.6204533893288,318.2896454285912,4467.0
06037,2022-02-27,AR_spatial,2022-03-06,1-step_ahead,9772.013055400112,1058.2898561075738,8388.0
06059,2022-02-27,AR_spatial,2022-03-06,1-step_ahead,1768.9915242823504,224.33932542311808,1152.0
06065,2022-02-27,AR_spatial,2022-03-06,1-step_ahead,2279.7845443989045,411.07777122334846,1295.0
06073,2022-02-27,AR_spatial,2022-03-06,1-step_ahead,5488.808402426035,628.4531385185232,4174.0
17031,2022-02-27,AR_spatial,2022-03-06,1-step_ahead,4220.559621019293,449.67999183094815,3812.0
36047,2022-02-27,AR_spatial,2022-03-06,1-step_ahead,1353.6694880380828,131.62675454892334,1503.0
48113,2022-02-27,AR_spatial,2022-03-06,1-step_ahead,746.2842375238968,102.04421347461138,1277.0
48201,2022-02-27,AR_spatial,2022-03-06,1-step_ahead,2348.7804604851835,227.2149363239728,1961.0
04013,2022-02-20,AR_spatial,2022-02-27,1-step_ahead,8674.85465725978,1348.238618355463,2640.0
06037,2022-02-20,AR_spatial,2022-02-27,1-step_ahead,13576.505936360049,2254.229520171156,9700.0
06059,2022-02-20,AR_spatial,2022-02-27,1-step_ahead,2074.804696778946,244.3857926234652,1762.0
06065,2022-02-20,AR_spatial,2022-02-27,1-step_ahead,3705.078139715671,594.9623009266712,2032.0
06073,2022-02-20,AR_spatial,2022-02-27,1-step_ahead,7320.433224333223,1153.7403718056364,5463.0
17031,2022-02-20,AR_spatial,2022-02-27,1-step_ahead,4118.201800724823,433.9650092743801,4204.0
36047,2022-02-20,AR_spatial,2022-02-27,1-step_ahead,1875.3846369733749,217.60229439588824,1348.0
48113,2022-02-20,AR_spatial,2022-02-27,1-step_ahead,2384.92377548908,275.0120853416109,733.0
48201,2022-02-20,AR_spatial,2022-02-27,1-step_ahead,4281.572045382055,376.9062224071144,2328.0
04013,2022-02-13,AR_spatial,2022-02-20,1-step_ahead,9702.99952658896,1453.222989546018,8599.0
06037,2022-02-13,AR_spatial,2022-02-20,1-step_ahead,23594.77282433998,2803.70545623698,13453.0
