,lead_time,cnty,step_ahead,ensemble_mean,true,calibrated_sigma,captured_50,captured_75,captured_95
0,8,04013,1-step_ahead,2977.8982108435384,2139.0,566.8108975474776,0,0,1
1,8,04013,2-step_ahead,2753.015834141828,2223.0,625.184287289446,0,1,1
2,8,04013,3-step_ahead,2631.694426369727,2481.0,544.6583313298981,1,1,1
3,8,04013,4-step_ahead,2666.6000360721737,2686.0,368.1353067878699,1,1,1
4,8,06037,1-step_ahead,2571.962421884165,1238.0,1033.663181253676,0,0,1
5,8,06037,2-step_ahead,2181.838629590988,1704.0,930.8334853974715,1,1,1
6,8,06037,3-step_ahead,2101.094612629464,2783.0,840.8220216664333,0,1,1
7,8,06037,4-step_ahead,1929.2381529620616,4709.0,995.2366047435305,0,0,0
8,8,06059,1-step_ahead,304.00253437962607,272.0,40.57254982834452,0,1,1
9,8,06059,2-step_ahead,264.0635001185164,303.0,43.295432619036916,0,1,1
10,8,06059,3-step_ahead,271.28929159019964,513.0,37.64742051787581,0,0,0
11,8,06059,4-step_ahead,325.41858947063173,394.0,82.06706889494835,0,1,1
12,8,06065,1-step_ahead,352.8893984312343,322.0,75.84655609718,1,1,1
13,8,06065,2-step_ahead,335.9799312076618,2800.0,82.08818521073634,0,0,0
14,8,06065,3-step_ahead,1124.2645420546762,832.0,568.6307618946321,1,1,1
15,8,06065,4-step_ahead,994.1317361031483,293.0,545.3222944615036,0,0,1
16,8,06073,1-step_ahead,785.7129500260756,577.0,359.60356616178785,1,1,1
17,8,06073,2-step_ahead,816.8799150053283,706.0,358.7332980379964,1,1,1
18,8,06073,3-step_ahead,500.6469390407955,620.0,230.2222281935065,1,1,1
19,8,06073,4-step_ahead,528.3779666727977,1182.0,182.39511587766566,0,0,0
20,8,17031,1-step_ahead,-52.828687669288115,467.0,231.00809033529754,0,0,0
21,8,17031,2-step_ahead,-573.5393693343989,514.0,280.3241802897702,0,0,1
22,8,17031,3-step_ahead,-717.3331770972135,458.0,334.0798081011426,0,0,1
23,8,17031,4-step_ahead,-628.1123292026955,749.0,555.2510425107653,0,0,1
24,8,36047,1-step_ahead,460.2795279833661,326.0,258.64487557452867,1,1,1
25,8,36047,2-step_ahead,239.58814839898707,357.0,199.7509567521421,1,1,1
26,8,36047,3-step_ahead,244.00041542090904,345.0,98.52658297585243,1,1,1
27,8,36047,4-step_ahead,229.68841240052583,650.0,88.41604412865217,0,0,0
28,8,48113,1-step_ahead,549.1065034014147,796.0,200.88272052331007,0,1,1
29,8,48113,2-step_ahead,568.815248690615,677.0,259.4024158600147,1,1,1
30,8,48113,3-step_ahead,600.9003095051341,895.0,182.64327276591115,0,0,1
31,8,48113,4-step_ahead,768.8561030777516,1031.0,163.4766440056644,0,0,1
32,8,48201,1-step_ahead,1559.14801990769,458.0,332.4225798223265,0,0,0
33,8,48201,2-step_ahead,1245.3751249110849,1.0,579.4559579184978,0,0,0
34,8,48201,3-step_ahead,928.8827444241577,89.0,508.07125347310273,0,0,1
35,8,48201,4-step_ahead,605.6568663498814,2051.0,480.51230850118907,0,0,0
